B06.801+J17.1* 11
B06.802+M01.4* 11
B15.000 12
B15.001 12
B15.002 12
B15.003 12
B16.000 12
B16.000x001 12
B16.001 12
B16.200 12
B16.201 12
B16.202 12
B16.203 12
B16.204 12
B19.000 12
B19.001 12
B19.002 12
B20.000 13
B20.000x001 13
B20.001 13
B20.002 13
B20.003 13
B20.004 13
B20.005 13
B20.006 13
B20.100 13
B20.100x001 13
B20.200 13
B20.200x001 13
B20.300 13
B20.300x001 13
B20.301 13
B20.400 13
B20.400x001 13
B20.500 13
B20.500x001 13
B20.600 13
B20.600x001 13
B20.700 13
B20.700x001 13
B20.800 13
B20.801 13
B20.900 13
B20.901 13
B21.000 13
B21.000x001 13
B21.100 13
B21.100x001 13
B21.200 13
B21.200x001 13
B21.300 13
B21.700 13
B21.800 13
B21.900 13
B22.000 13
B22.000x001 13
B22.000x003 13
B22.000x004 13
B22.000x005 13
B22.001+F02.4* 13
B22.100 13
B22.200 13
B22.700 13
B22.701 13
B23.000 13
B23.100 13
B23.100x001 13
B23.100x002 13
B23.200 13
B23.201 13
B23.800 13
B23.800x001 13
B23.800x002 13
B23.801 13
B24.x00 13
B24.x01 13
B26.300+K87.1* 14
B27.000 14
B27.001 14
B27.100 14
B30.000+H19.2* 14
B30.001+H19.2* 14
B33.300 14
B33.300x001 14
B33.400+J17.1* 14
B33.400x001+J17.1* 14
B37.100 15
B37.101+J17.2* 15
B37.200 15
B37.200x003 15
B37.200x005+H62.2* 15
B37.201 15
B37.202 15
B37.203 15
B37.204 15
B37.205 15
B37.300+N77.1* 15
B37.300x002+N77.1* 15
B37.301+N77.1* 15
B37.302+N77.1* 15
B37.400 15
B37.400x001+N37.0* 15
B37.401+N37.0* 15
B37.402+N51.2* 15
B37.500+G02.1* 15
B37.600+I39.8* 15
B37.700 15
B37.700x001 15
B37.800 15
B37.800x083 15
B37.800x084 15
B37.800x085 15
B37.800x088 15
B37.800x089+M01.6* 15
B37.800x090 15
B37.800x091 15
B37.801 15
B37.802 15
B37.803 15
B37.804 15
B37.805 15
B37.806 15
B37.807+H48.8* 15
B37.808 15
B37.900 15
B37.900x001 15
B37.900x002 15
B37.900x003 15
B37.901 15
B38.000 15
B38.000x001+J17.2* 15
B38.100 15
B38.100x001+J17.2* 15
B38.200 15
B38.200x001+J17.2* 15
B38.300 15
B39.000 15
B39.000x001+J17.2* 15
B39.100 15
B39.100x001+J17.2* 15
B39.200 15
B39.200x001+J17.2* 15
B39.500 15
B39.500x001 15
B39.900 15
B40.000 15
B40.100 15
B40.200 15
B40.700 15
B40.800 15
B41.000 15
B41.700 15
B41.800 15
B41.800x001 15
B41.800x002 15
B41.800x003 15
B42.000+J99.8* 15
B44.000 15
B44.000x001+J99.8* 15
B44.100 15
B44.100x003 15
B44.101+J99.8* 15
B44.102+J17.2* 15
B44.200 15
B44.200x001+J99.8* 15
B44.700 15
B44.800 15
B44.800x001 15
B44.800x002 15
B44.800x003 15
B44.800x004+H62.2* 15
B44.800x005 15
B44.800x006 15
B44.800x007 15
B44.801 15
B44.802 15
B44.803 15
B44.804 15
B44.900 15
B44.900x001 15
B45.000 15
B45.000x002+J99.8* 15
B45.200 15
B45.700 15
B45.800 15
B45.800x001 15
B45.800x002 15
B45.801 15
B45.900 15
B46.000 15
B46.000x001+J99.8* 15
B46.200 15
B46.200x001+K93.8* 15
B46.400 15
B46.500 15
B47.000 15
B47.100 15
B47.100x001 15
B48.400 15
B48.401 15
B48.402 15
B48.500+J17.2* 15
B48.501+J17.2* 15
B48.502+J17.2* 15
B48.700 15
B49.x00 15
B49.x00x002 15
B49.x00x007 15
B49.x00x011 15
B49.x00x013 15
B49.x00x021 15
B49.x01+G02.1* 15
B49.x02+E35.8* 15
B49.x03+H19.2* 15
B49.x04+H19.2* 15
B49.x05 15
B49.x06 15
B49.x07 15
B49.x08 15
B49.x09 15
B49.x10 15
B49.x11 15
B49.x12 15
B49.x13 15
B49.x14+J99.8* 15
B49.x15 15
B49.x16 15
B49.x17 15
B49.x18 15
B49.x19+M01.6* 15
B50.800 16
B50.801 16
B50.900 16
B50.900x001 16
B55.000 16
B55.000x001 16
B55.000x003 16
B55.900 16
B56.000 16
B56.000x001 16
B56.900 16
B56.900x001 16
B57.200 16
B57.200x001 16
B57.200x003 16
B57.201+I98.1* 16
B57.202+I41.2* 16
B57.300 16
B57.500 16
B58.100+K77.0* 16
B58.200+G05.2* 16
B58.200x002+G05.2* 16
B58.201+G05.2* 16
B58.300+J17.3* 16
B58.900 16
B58.900x001 16
B60.000 16
B60.000x001 16
B60.800 16
B60.800x001 16
B65.000 17
B65.000x001 17
B65.001 17
B65.002+N22.0* 17
B65.100 17
B65.100x001 17
B65.101 17
B65.200 17
B65.200x001 17
B65.202+K77.0* 17
B65.300 17
B65.800 17
B65.800x001 17
B65.800x002 17
B65.800x003 17
B65.900 17
B65.900x004+K77.0* 17
B65.900x006 17
B65.900x007 17
B65.900x008 17
B65.900x010+K77.0* 17
B65.901+G07* 17
B65.902+J99.8* 17
B65.903+K77.0* 17
B65.904+I98.2* 17
B65.905+N08.0* 17
B65.906+I98.3* 17
B65.907+I52.1* 17
B66.000 17
B66.000x001 17
B66.100 17
B66.100x001+K77.0* 17
B66.101 17
B66.200 17
D60.000 41
D60.000x001 41
D60.100 41
D60.100x001 41
D60.800 41
D60.900 41
D60.900x001 41
D61.000 41
D61.000x006 41
D61.001 41
D61.002 41
D61.003 41
D61.004 41
D61.005 41
D61.006 41
D61.007 41
D61.100 41
D61.101 41
D61.102 41
D61.200 41
D61.200x002 41
D61.201 41
D61.202 41
D61.300 41
D61.800 41
D61.800x002 41
D61.801 41
D61.802 41
D61.900 41
D61.900x001 41
D61.901 41
D61.902 41
D61.903 41
D61.904 41
D61.905 41
D61.906 41
D61.907 41
D61.908 41
D61.909 41
D65.x00 42
D65.x00x001 42
D65.x00x003 42
D65.x00x005 42
D65.x01 42
D65.x02 42
D65.x03 42
D65.x04 42
D66.x00 42
D66.x00x001 42
D66.x01 42
D66.x02 42
D66.x03+M36.2* 42
D67.x00 42
D67.x00x003 42
D67.x01 42
D68.100 42
D68.100x001 42
D68.101 42
D68.300 42
D68.300x001 42
D68.300x003 42
D68.300x004 42
D68.301 42
D68.302 42
D68.303 42
D68.400 42
D68.400x002 42
D68.400x003 42
D68.401 42
D68.402 42
D68.500 42
D68.501 42
D68.502 42
D68.503 42
D68.504 42
D68.505 42
D68.600 42
